time;GEN1A_generator_omegaPu;GEN1A_generator_PGenPu;GEN1A_generator_UPu;GEN1B_generator_omegaPu;GEN1B_generator_PGenPu;GEN1B_generator_UPu;GEN2A_generator_omegaPu;GEN2A_generator_PGenPu;GEN2A_generator_UPu;GEN2B_generator_omegaPu;GEN2B_generator_PGenPu;GEN2B_generator_UPu;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_grp_2_value;OMEGA_REF_omegaRef_grp_3_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;NETWORK_GEN1A_BUS_numcc_value;NETWORK_GEN2A_BUS_numcc_value;
0.000000;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000001;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000002;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000004;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000008;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000016;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000032;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000064;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000128;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000256;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000512;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.001024;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.002048;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.004096;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.008192;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128257;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.016384;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128258;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.032768;1.000000;4.803218;1.000006;1.000000;3.356881;1.000006;1.000000;4.128258;1.000005;1.000000;3.839000;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.065536;1.000000;4.803217;1.000006;1.000000;3.356882;1.000006;1.000000;4.128259;1.000005;1.000000;3.838999;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.131072;1.000000;4.803217;1.000006;1.000000;3.356884;1.000006;1.000000;4.128261;1.000006;1.000000;3.838996;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.262144;1.000000;4.803215;1.000006;1.000000;3.356888;1.000006;1.000000;4.128265;1.000006;1.000000;3.838993;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.524288;1.000000;4.803216;1.000006;1.000000;3.356886;1.000006;1.000000;4.128262;1.000006;1.000000;3.838995;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
1.000000;1.000000;4.803216;1.000006;1.000000;3.356885;1.000006;1.000000;4.128262;1.000006;1.000000;3.838996;1.000006;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
1.000000;1.000000;4.684375;1.077056;1.000000;3.200266;1.076235;1.000000;4.109466;0.909383;1.000000;3.705709;0.906047;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;
