time;GEN1_generator_delta;GEN1_generator_omegaPu;GEN1_generator_PGenPu;GEN1_generator_UPu;GEN2_generator_delta;GEN2_generator_omegaPu;GEN2_generator_PGenPu;GEN2_generator_UPu;
0.000000;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.000001;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.000002;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.000004;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.000008;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.000016;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.000032;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.000064;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.000128;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.000256;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.000512;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.001024;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.002048;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.004096;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.008192;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.016384;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.032768;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.065536;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.131072;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.262144;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
0.524288;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
1.048576;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
2.097152;0.819063;1.000000;6.067472;1.000000;0.694239;1.000000;4.445930;1.000000;
4.194304;0.819064;1.000000;6.067472;1.000000;0.694238;1.000000;4.445930;1.000000;
8.388608;0.819065;1.000000;6.067472;1.000000;0.694236;1.000000;4.445930;1.000000;
16.777216;0.819070;1.000000;6.067472;1.000000;0.694231;1.000000;4.445930;1.000000;
20.000000;0.819071;1.000000;6.067472;1.000000;0.694229;1.000000;4.445930;1.000000;
